idchart,information,object,type,format,render,use
1,distributions,boxplot,static,any,plot,Distribution of observations for several variables
2,distributions,density_2d_plot,static,any,plot,Distribution of observations along two combined dimensions
3,distributions,density_plot,static,any,plot,Distribution of observations for several variables
4,distributions,histogram,static,any,plot,Distribution of observations for several variables
5,distributions,histogram,interactive,html,plotly,Distribution of observations for several variables
6,distributions,violin_plot,static,any,plot,Distribution of observations for several variables
7,descriptions,parralel_coord_plot,interactive,html,plotly,Profiles as lines across several parallel dimensions
8,relations,sankey_diagram,interactive,html,plotly,Resource flows across nodes or periods
9,compositions,collapsible_trees,interactive,html,collapsibleTree,Breakdown of hierarchical structures
10,compositions,sunburst,interactive,html,plotly,Breakdown and relative proportions of hierarchical structures
11,distributions,ridgeline,static,any,plot,Distribution of observations for several variables
12,variations,waterfall_chart,static,any,plot,Changes between two references
13,distributions,population_pyramid,static,any,plot,Differences between two populations
14,associations,mosaic_plot,static,any,plot,Cross two categorical variables
15,associations,caterpillar_plot,static,any,plot,Estimates and confidence intervals for several predictors
16,associations,marginal_effect,static,any,plot,Estimates and their confidence intervals for continuous variables
17,relations,chord_diagram,static,any,plot,Directional flows between categories
18,proportions,comparison_wordcloud,static,any,plot,Word frequencies across documents
19,associations,heatmap_cluster,static,any,plot,Clustering of observations based on their characteristics
20,compositions,venn_diagram,static,any,plot,Intersections between sets
21,compositions,tree_map,static,any,plot,Breakdown and relative proportions of hierarchical structures
22,locations,connections_map,static,any,plot,Connections between locations on maps
23,locations,choropleth,static,any,plot,Color areas based on the values of a specified variable
24,locations,bubble_map,static,any,plot,Place on a map bubbles the size of which is proportional to a variable
25,associations,scatter_plot,static,any,plot,Association between several variables
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
